productID,_LTV
11a8ebc5-bd3a-477e-9ab1-ed4fdb5f1ed7,245592.12
2e9d478c-ef61-46f4-b392-887a7dbe60f1,3498.0
ffe29213-c0ea-47c8-b38a-6649cac4d6db,5197.0
77328b8f-fcaa-49fc-83c1-5c6d00cdf0d4,59988.0
ca047150-2175-46ea-8401-273500804ba0,23994.0
68cf13a2-09f4-4845-bef6-3a2855b20d9a,15204.0
50bd48bd-5699-4b73-8b8b-51049b67c2bb,15294.0
75b998c4-be93-4ae2-b314-58de82ddb12b,92863.0
8890e56b-1f1a-49e0-b69c-6317d8cc60c2,431529.0
151354df-0504-4043-8f2c-ff84b22ea817,1407841.6599999997
66db1127-44c8-4285-a146-0fdcfe8bcb27,241820.93000000002
ff0fd583-8cc5-4984-88a0-50d90d22660f,85772.0
c9c66dbf-7289-4364-8242-975dbd5fa63d,63798.99
a4fa0883-1a96-49a0-8704-1832ea5e33f9,663908.0
066225be-b530-4ae3-bd85-0b6b2214ef1e,201272.06
08892dd2-1cf1-4f30-8b28-219d0fadaa68,38375.94
f0a22247-8ad7-4117-b8b8-367558948847,12294.0
e4688fb2-75c0-4aab-b2e4-16ade622c635,16392.0
e7636b86-7c16-4353-a779-98e912d6ce52,256293.03000000003
4ce0b648-eba8-4afc-8538-7db7c23babec,35981.0
ef86ed0c-795d-4f88-8487-ad851a9cb1b5,131956.0
4f6595d3-b9c7-495e-88b3-8b8cc1c941a3,44021.0
db8f09d8-dd49-4154-94e2-6bec14c355dd,46072.0
587b9d06-4fe9-4f6b-b024-c9449f8269a5,143417.0
1550044b-1c92-4b7e-84e8-195e24d47450,155705.0
150a73d3-8421-4b55-8d71-8fa1724632d2,116835.0
90b6b3ed-ba5e-4380-8200-a96bbf03c8b7,234073.0
49fc21bb-926f-4287-8808-95f78b9d82df,15291.0
7d0822c0-e2bd-4326-bb30-edde8201fa27,5097.0
6c005de1-b327-4c87-bb52-aea042542315,5097.0
d40ecc46-2e54-4e00-8ea0-906919c148e6,433783.0
0bcc1526-0687-4009-a638-29da81ed6a88,892653.94
97c2a8f4-288b-4e02-92ec-86fc4d1fc6bf,422716.94
81cbe238-c470-46ae-8823-f463dfef972a,25389.010000000002
4870985f-b160-4c50-812e-6c576edd8309,388704.0
92624d60-d96c-413c-bc7f-9d4be9e8ff2c,29355202.260000009
874e70d4-a638-46e4-837e-cc4184d6fa47,2155776.0
3a704929-67e0-4499-a54e-ede18ff2a3cf,3045034.75
9fc7da3f-837e-444a-b60c-4a5f4b92f334,787968.68999999983
faa0f375-761f-4c5c-9545-0e5d91bf989b,2057900.0
c1133baa-aaa9-425d-ba7e-cac6bf832738,2214373.0
978f0b80-ee4c-41ab-8fb4-7a03fd505c6c,2896726.0200000005
0a3b606b-d0fd-45cf-8e0c-9d1670e808d2,380412.03
dca9ad00-3de5-4b6b-890a-3ccacb44fa51,168678.0
a3a0e5db-531c-40f0-8820-4d647259a326,8816548.87
416811b7-491b-471f-ae6d-3136d551dd53,1224456.8700000006
18bb9606-2edb-4bd6-b28c-7ef0fdc9a292,108575295.25999723
926b51f3-e44f-491f-a559-c51e95220403,24466841.969999883
